Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,F1p0_tof_data,F2p0_tof_data,F3p0_tof_data,F4p0_tof_data,F5p0_tof_data,F6p0_tof_data,F7p0_tof_data,R1p0_tof_data,R2p0_tof_data,R3p0_tof_data,R4p0_tof_data,R5p0_tof_data,R6p0_tof_data,R7p0_tof_data,F1p0_tof_integ,F2p0_tof_integ,F3p0_tof_integ,F4p0_tof_integ,F5p0_tof_integ,F6p0_tof_integ,F7p0_tof_integ,R1p0_tof_integ,R2p0_tof_integ,R3p0_tof_integ,R4p0_tof_integ,R5p0_tof_integ,R6p0_tof_integ,R7p0_tof_integ,A1_Site_coord,B1_Site_coord,B2_Site_coord,C1_Site_coord,C2_Site_coord,D1_Site_coord,D2_Site_coord,E1_Site_coord,
MyFirstThrottling,30,12000000,63.89538544642309,400000,2.60157772034529,600,0.19411297846330522,0.19987871049686878,0.19411297846330522,0.20852730854721405,18.19088456589291,81.74654877186362,91.46853393579063,0.1845034250740327,0.1825815143961782,0.19219106778545073,0.2162149512586321,18.19184552123184,81.7427049505079,91.46949489112956,0.17924016799628312,0.18136268893862575,0.18968533687468653,0.20355437863430606,18.136268893854425,82.20125003098515,91.58725633575486,0.18136268893862575,0.18968533687468653,0.20355437863430606,0.18888210627596141,18.146137818979327,82.09559818080251,90.82052186782174,0.1725,0.1525,0.0175,0.205,0.04,0.2225,0.0225,0.1675,
MyFirstThrottling,31,12400000,66.68708518155942,400000,2.7916997351363335,600,0.17910235606895678,0.16656519114412982,0.1844754267510255,0.20238566235792116,17.911131118676025,73.74897715851435,86.69091340805717,0.18895298565274943,0.19074400921343898,0.18805747387240465,0.19432605633481814,17.909340095115336,73.75882778809813,86.69091340805717,0.1950701952782628,0.17988640720525317,0.17346601291134664,0.20131369918265546,17.98864072051479,73.56641939632877,87.1433639410109,0.17988640720525317,0.17346601291134664,0.20131369918265546,0.19488627092784727,17.879581881997325,73.94748505389141,86.84038707601451,0.2,0.1875,0.0225,0.175,0.0125,0.19,0.0225,0.19,
MyFirstThrottling,32,12800000,69.42136165953788,400000,2.7342764779784545,600,0.17463486368175626,0.19017828086809058,0.20755033537046422,0.20937897268650357,17.627149407961145,81.90192242942764,82.57120368709803,0.17006327039165792,0.1819494129459136,0.19566419281620856,0.20206442342234623,17.626235089303126,81.90100811076962,82.56846073112398,0.19039731834360807,0.17701556886252617,0.17844561728340927,0.18749299207765202,17.70155688625718,82.08184110062695,82.38632383052813,0.17701556886252617,0.17844561728340927,0.18749299207765202,0.2120612691013563,17.769922029696836,82.69716211110581,82.7803904046011,0.1875,0.175,0.025,0.1625,0.015,0.195,0.03,0.21,
MyFirstThrottling,33,13200000,72.10988059195175,400000,2.6885189324138707,600,0.17295768104653164,0.19434492117594146,0.1822564811027968,0.2101528812715922,19.08950663550671,76.78205182459253,89.3261331004942,0.1822564811027968,0.20085408121532705,0.1906254011534354,0.22038156133348388,19.088576755501084,76.78205182459253,89.3298526205167,0.19831125857999005,0.18990813911359974,0.1720159909045622,0.19057235996495997,18.990813911372122,77.2869049812926,89.24503280291042,0.18990813911359974,0.1720159909045622,0.19057235996495997,0.19390582176611648,19.07681407617276,76.91551071238534,89.40163710093434,0.2125,0.165,0.0275,0.1675,0.015,0.21,0.02,0.1825,
MyFirstThrottling,34,13600000,74.54531049255841,400000,2.435429900606664,600,0.20119651149800752,0.18990487054658875,0.21248815244942632,0.19298440898788477,18.345837007614236,90.89155058203868,95.25936260461022,0.19503743461541545,0.18990487054658875,0.23096538309720252,0.20119651149800752,18.34275746917294,90.89052406922491,95.26141563023774,0.18785705149188384,0.18480752392991842,0.1924904413899962,0.20649168301415727,18.48075239298892,90.1107358755777,95.26047880799506,0.18480752392991842,0.1924904413899962,0.20649168301415727,0.16993394572731255,18.251222702526476,91.15560786440186,95.47600460427535,0.1975,0.1725,0.035,0.21,0.0175,0.19,0.015,0.1625,
MyFirstThrottling,35,14000000,77.30725578587054,400000,2.761945293312124,600,0.20094532695629325,0.2217639869562696,0.19732469043455825,0.18736793999978693,20.074619194759784,79.41051567208362,80.76101309469078,0.19370405391282322,0.20909175913019706,0.1765060304345819,0.17198023478241314,20.08276562693369,79.41323114947492,80.76282341295165,0.18775494290368125,0.20076570611304562,0.19382122930579018,0.18867593734408114,20.076570611314086,79.86108132100293,80.40672128558181,0.20076570611304562,0.19382122930579018,0.18867593734408114,0.1707244953525316,20.06677195628981,79.07129358423568,80.97300785345911,0.1775,0.18,0.0125,0.195,0.01,0.21,0.01,0.205,
MyFirstThrottling,36,14400000,79.99828639060962,400000,2.6910306047390833,600,0.1932345173199612,0.19787957783246024,0.18208637208996342,0.1960215536274606,18.51335317861628,81.1529232017687,85.36692209870786,0.1950925415249608,0.19880858993496006,0.18487340839746286,0.1960215536274606,18.51521120282128,81.1473491291537,85.36506407450284,0.17271136973038964,0.18421728653251182,0.19528847043884384,0.1840787212836122,18.42172865323248,81.0601805129506,85.47726249630102,0.18421728653251182,0.19528847043884384,0.1840787212836122,0.20718538711647239,18.648657522726754,81.08123227602655,85.14439876067158,0.1825,0.1825,0.0075,0.185,0.025,0.1975,0.015,0.205,
MyFirstThrottling,37,14800000,82.7530599475159,400000,2.7547735569062723,600,0.1796880904272604,0.15427765339714275,0.173335481169731,0.17152044995329402,19.632285152590526,71.88431132698634,89.27684795849363,0.19057827772588223,0.1796880904272604,0.19057827772588223,0.1851331840765713,19.62774757454943,71.88521884259455,89.27503292727721,0.19987939153795017,0.19499665908497638,0.1756370758943531,0.18582852922089746,19.499665908472657,71.8675731376,88.95133176468437,0.19499665908497638,0.1756370758943531,0.18582852922089746,0.18785220719693602,19.535726827414088,72.19905713750254,89.15638810902402,0.2125,0.21,0.02,0.165,0.0225,0.1825,0.02,0.1675,
MyFirstThrottling,38,15200000,85.44778476568226,400000,2.694724818166364,600,0.21059664280902626,0.19668056509036816,0.16699293262389747,0.1595710245072798,21.479929828006103,79.69088292515303,83.63841030467906,0.2124521198381807,0.1938973495466365,0.17163162519678352,0.160498763021857,21.483640782064413,79.69088292515303,83.63933804319363,0.20735692711505127,0.21189827367990768,0.17544308077021933,0.1773818335158497,21.189827367997964,79.8920222352607,83.6937501953019,0.21189827367990768,0.17544308077021933,0.1773818335158497,0.1711895264105112,21.488441965846338,79.9034628839868,83.49045237646921,0.2175,0.2075,0.01,0.185,0.0225,0.175,0.0175,0.165,
MyFirstThrottling,39,15600000,87.97795139425315,400000,2.530166628570896,600,0.1837823622954999,0.21243660157813163,0.20354390662834937,0.198603520545137,19.07680682171622,88.30544892855443,89.45952311759284,0.1768658217790026,0.19366313446192465,0.18180620786221496,0.19069890281199722,19.07680682171622,88.3074250829877,89.46347542645941,0.18465571081108315,0.19068947259478614,0.192882956445468,0.18110471872394338,19.068947259480403,88.17437132146843,89.90539221333573,0.19068947259478614,0.192882956445468,0.18110471872394338,0.1940267424793819,19.218101717720202,88.22113106709504,89.9714217377589,0.2,0.1775,0.01,0.1825,0.0175,0.22,0.0075,0.185,
