Temperature[K]	Time[s]	Desorption_events
1863.09927199	60.753352207	1.0	
1863.82707829	60.7774791072	1.0	
1864.59721024	61.0614049907	1.0	
1865.31300378	61.0637965193	1.0	
1865.34381767	61.0737305505	1.0	
1865.75239115	61.2272259077	1.0	
1866.18574045	61.2470702721	1.0	
1866.65903782	61.4165448576	1.0	
1867.32684341	61.514192507	1.0	
1867.60813116	61.5290599565	1.0	
1867.77031564	61.5790662994	1.0	
1867.98113176	61.6133864028	1.0	
1868.20263857	61.6676690267	1.0	
1868.37239915	61.6812906345	1.0	
1868.7258756	61.8090596046	1.0	
1869.41301835	61.9561477369	1.0	
1870.0910689	62.0802798251	1.0	
1870.47960852	62.1115635835	1.0	
1870.60503176	62.1304491221	1.0	
1870.74223784	62.1664460142	1.0	
1870.90021283	62.1936391162	1.0	
1870.97013893	62.1944164576	1.0	
1871.167583	62.2726167438	1.0	
1871.75532361	62.4295127009	1.0	
1872.15667367	62.4331567658	1.0	
1872.36795816	62.5140264986	1.0	
1872.84597994	62.6243654793	1.0	
1873.99645579	62.9742168374	1.0	
1875.55797585	63.2489735008	1.0	
1876.9507995	63.5313462978	1.0	
1877.7357807	63.5629659833	1.0	
1878.63511482	63.8910799452	1.0	
1879.50746012	63.9119041017	1.0	
1879.73408712	63.9817307444	1.0	
1879.98273662	64.0113639029	1.0	
1880.12127701	64.0371469021	1.0	
1880.29069442	64.0791308669	1.0	
1880.69115085	64.1973294744	1.0	
1881.20564585	64.284928867	1.0	
1881.42825458	64.2863729669	1.0	
1881.47968072	64.3054993226	1.0	
1881.79115731	64.4109636029	1.0	
1882.10125984	64.4295403339	1.0	
1882.43077185	64.5427684062	1.0	
1882.75909664	64.5608702483	1.0	
1883.44656431	64.8177554759	1.0	
1884.28045996	64.8944285077	1.0	
1884.80778111	65.0286839372	1.0	
1885.52805757	65.1825390913	1.0	
1886.49683082	65.4161932377	1.0	
1887.14693637	65.4425813083	1.0	
1887.26268755	65.4624937127	1.0	
1887.58552241	65.5717152517	1.0	
1888.04219222	65.6451616343	1.0	
1888.75394906	65.8564179897	1.0	
1889.31863242	65.8710349801	1.0	
1889.73260931	66.022008742	1.0	
1890.12198094	66.0267836327	1.0	
1890.71491249	66.2591813633	1.0	
1891.36520608	66.2869010704	1.0	
1891.47494016	66.3030749941	1.0	
1891.51933817	66.3046602759	1.0	
1892.397894	66.654497323	1.0	
1893.37253227	66.6945155863	1.0	
1893.54381376	66.7230099185	1.0	
1893.70796243	66.7601750552	1.0	
1893.89579579	66.7981432611	1.0	
1894.07422354	66.8315461551	1.0	
1894.20947439	66.8522436007	1.0	
1894.59075423	66.9840580901	1.0	
1895.50528206	67.2180547353	1.0	
1896.13885259	67.2374863014	1.0	
1896.21181474	67.2472395928	1.0	
1896.27142741	67.2613313709	1.0	
1897.22524068	67.6287648999	1.0	
1898.14695951	67.6300189057	1.0	
1898.3548285	67.7119124956	1.0	
1898.65021265	67.7481725631	1.0	
1898.75174609	67.7525258726	1.0	
1898.92681096	67.8181985127	1.0	
1899.16456041	67.8476256505	1.0	
1899.43952372	67.9281838385	1.0	
